,learning rate scheduler,agent,optimiseur,moyenne,écart-type,durée d'apprentissage
0,None,AgentDQNTarget,Adam,265.1310785724384,106.06998537971067,1030.2256681919098
1,StepLR,AgentDQNTarget,Adam,262.5568727334297,104.61113898354762,1042.26424908638
2,"(ExponentialLR, ReduceLROnPlateau)",AgentDQNTarget,Adam,271.679720101372,104.8565161490677,1066.688081741333
3,ExponentialLR,AgentDQNTarget,Adam,270.0157042982232,106.01608285898415,1130.798219203949
4,ReduceLROnPlateau,AgentDQNTarget,Adam,277.0551021306682,106.86372072654943,1188.7085931301117
